bloco_id,text,option_a,option_b,option_c,option_d,correct_answer,difficulty,explanation
conhecimentos_tecnicos,Os motores a pistão utilizados na maioria das aeronaves leves de treinamento operam segundo o ciclo térmico de:,Diesel,Otto (quatro tempos),Brayton,Rankine,1,easy,"Os motores aeronáuticos a pistão tradicionais operam segundo o ciclo Otto, que possui quatro tempos teóricos: admissão, compressão, combustão (expansão) e escapamento."
conhecimentos_tecnicos,"Quais são as fases (tempos) do ciclo Otto em um motor a pistão, em ordem sequencial?","Admissão, expansão, compressão e escapamento","Compressão, admissão, expansão e escapamento","Admissão, compressão, combustão/expansão e escapamento","Admissão, ignição, combustão e escapamento",2,easy,"A sequência correta dos quatro tempos do ciclo Otto é: Admissão (mistura ar/combustível entra), Compressão (mistura é comprimida), Combustão/Expansão (mistura queima e empurra o pistão) e Escapamento (gases queimados são expulsos)."
conhecimentos_tecnicos,"No tempo de compressão de um motor a pistão de quatro tempos, as válvulas encontram-se:",Ambas abertas,Válvula de admissão aberta e de escapamento fechada,Ambas fechadas,Válvula de admissão fechada e de escapamento aberta,2,medium,"Durante a compressão, tanto a válvula de admissão quanto a de escapamento devem estar fechadas para garantir a vedação do cilindro e permitir que a mistura ar-combustível seja devidamente comprimida pelo pistão que sobe."
conhecimentos_tecnicos,"Em um motor de quatro tempos, o virabrequim (eixo de manivelas) dá quantas voltas completas para completar um ciclo operacional em um cilindro?",Uma volta,Duas voltas,Quatro voltas,Meia volta,1,medium,"Cada tempo (curso do pistão) corresponde a meia volta (180°) do eixo de manivelas. Logo, 4 tempos equivalem a 2 voltas completas (720°) do eixo de manivelas."
conhecimentos_tecnicos,O cruzamento de válvulas (valve overlap) em um motor a pistão ocorre quando:,Ambas as válvulas permanecem abertas no final do escapamento e início da admissão,Ambas as válvulas se fecham durante a compressão,Uma válvula abre enquanto a outra quebra,A válvula de admissão abre no final da compressão,0,medium,"O cruzamento de válvulas é o período em que tanto a válvula de admissão quanto a de escapamento estão abertas simultaneamente, ocorrendo no final do tempo de escapamento e no início do tempo de admissão, melhorando a limpeza do cilindro e a eficiência volumétrica."
conhecimentos_tecnicos,A cilindrada de um motor a pistão é definida como:,O volume da câmara de combustão,O volume deslocado pelo pistão em um cilindro multiplicado pelo número total de cilindros,A capacidade de combustível do cárter,A taxa de compressão do motor,1,easy,"Cilindrada é o volume de ar (ou mistura) deslocado pelo movimento do pistão do Ponto Morto Inferior (PMI) ao Ponto Morto Superior (PMS), multiplicado pelo número de cilindros do motor."
conhecimentos_tecnicos,O componente do motor responsável por transformar o movimento retilíneo alternativo do pistão em movimento rotativo é o:,Eixo de cames (eixo de comando de válvulas),Biela,Eixo de manivelas (virabrequim),Pino do pistão,2,easy,"O eixo de manivelas, em conjunto com a biela, converte o movimento retilíneo alternativo do pistão em movimento circular (rotativo) para girar a hélice."
conhecimentos_tecnicos,A biela conecta o pistão ao:,Eixo de comando de válvulas,Cilindro,Eixo de manivelas (virabrequim),Cárter,2,easy,"A biela é a haste de ligação que transmite a força de expansão dos gases, do pistão para o eixo de manivelas."
conhecimentos_tecnicos,Os anéis de segmento instalados nos pistões têm como principais funções:,Lubrificar a biela e resfriar o eixo de manivelas,"Vedar a câmara de combustão, raspar o excesso de óleo e transferir calor do pistão para a parede do cilindro",Sustentar o pino do pistão e aumentar o curso do cilindro,Diminuir a taxa de compressão do motor,1,medium,"Os anéis de compressão vedam a pressão da combustão, enquanto os anéis raspadores controlam o filme de óleo. Além disso, todos ajudam na transferência de calor do pistão para o cilindro."
conhecimentos_tecnicos,"Em um motor aeronáutico com cilindros opostos horizontalmente (ex: Boxer), o cárter tem a função principal de:",Garantir a combustão da mistura,Armazenar as velas de ignição,"Acondicionar o eixo de manivelas e, na maioria dos casos, servir de reservatório principal de óleo lubrificante (cárter úmido)",Gerar o vácuo para os instrumentos,2,easy,"O cárter é o corpo principal do motor que aloja o eixo de manivelas e seus mancais. Nos motores de cárter úmido, ele também é o reservatório de óleo lubrificante."
conhecimentos_tecnicos,A folga (clearance) térmica das válvulas de um motor a pistão é importante porque:,Permite que as válvulas dilatem com o calor sem ficarem presas (vazadas) durante o funcionamento do motor,Aumenta a compressão do motor quando frio,Reduz o consumo de combustível em marcha lenta,Acelera a ignição da vela,0,medium,"Os componentes metálicos se expandem com o calor. A folga garante que, mesmo aquecidas e dilatadas, as válvulas assentem perfeitamente em suas sedes, evitando perda de compressão."
conhecimentos_tecnicos,Detonação em um motor a pistão pode ser descrita como:,A queima suave e progressiva da mistura ar-combustível,Ocorrência de inflamação da mistura antes do centelhamento da vela,"A explosão súbita e violenta do final da carga da mistura ar-combustível, após o início da queima normal",A queima de óleo lubrificante dentro do cilindro,2,hard,"A detonação ocorre quando a porção final da mistura ar-combustível (end gas) atinge temperatura e pressão críticas e explode instantaneamente (queima descontrolada), gerando picos de pressão perigosos."
