bloco_id,text,option_a,option_b,option_c,option_d,correct_answer,difficulty,explanation
teoria_de_voo,A atitude de estol (stall) de um perfil aerodinâmico é caracterizada principalmente por:,Aumento repentino da velocidade de cruzeiro,"Uma separação turbulenta do fluxo de ar sobre o extradorso, causando a perda abrupta de sustentação",Um aumento progressivo do arrasto induzido até zerar a resistência,A rotação dos ailerons na direção contrária,b,easy,"O estol (perda) ocorre quando o ângulo de ataque ultrapassa o valor crítico. O ar não consegue mais acompanhar o contorno curvo da asa (extradorso), ocorrendo o descolamento da camada limite e drástica queda na sustentação."
teoria_de_voo,A velocidade de estol de uma aeronave:,É fixa e não sofre alteração sob nenhuma condição,Aumenta quando o peso da aeronave aumenta,Diminui quando a aeronave entra em curva fechada,Permanece a mesma independente da aplicação de flaps,b,medium,"Aeronaves mais pesadas precisam gerar mais sustentação. Para gerar mais sustentação no mesmo ângulo crítico de ataque, elas devem voar mais rápido. Portanto, aumento de peso eleva a velocidade de estol."
teoria_de_voo,"Quando uma aeronave é colocada em uma curva inclinada (bank angle) mantendo a altitude, a velocidade de estol:","Aumenta significativamente, porque o fator de carga é maior","Diminui, devido ao aumento da componente vertical de sustentação","Não se altera, pois a velocidade é a mesma","Diminui, pois a asa abaixada sofre menos arrasto",a,medium,"Numa curva nivelada, a sustentação deve ser aumentada para compensar tanto o peso quanto a força centrífuga (aumento do fator de carga ou Força G). Como a asa trabalha com maior carga (aparente peso maior), a velocidade de estol aumenta."
teoria_de_voo,O parafuso (spin) pode ser descrito aerodinamicamente como:,Uma curva acentuada de alta velocidade para baixo,Um voo invertido contínuo gerado pelo leme de direção,"Um estol agravado e assimétrico, onde uma das asas estola mais que a outra, resultando em autorrotação",Uma queda vertical estabilizada gerada pela ausência de vento relativo,c,medium,"O parafuso surge quando a aeronave estola sob condições de guinada (yaw). Uma asa afunda e estola mais profundamente que a outra, causando arrasto desigual que mantém a rotação (autorrotação) da aeronave em descida."
teoria_de_voo,"Para recuperar uma aeronave de um estol simples, o piloto deve primariamente:",Aplicar leme todo para a direita,Reduzir o ângulo de ataque movimentando o manche à frente,Puxar o manche vigorosamente para trás,Desligar o motor imediatamente,b,easy,"Como o estol é causado pelo excesso de ângulo de ataque, a cura fundamental é diminuí-lo. Empurrar o nariz para baixo restabelece o fluxo de ar laminado na asa e a sustentação."
teoria_de_voo,"O fator de carga (Load Factor) expressado em unidades de gravidade (G), durante o voo reto horizontal não acelerado é igual a:",0 G,1 G,2 G,-1 G,b,easy,"Em voo reto horizontal, a sustentação se iguala perfeitamente ao peso. O fator de carga é a razão Sustentação/Peso, o que resulta em 1 G."
teoria_de_voo,O enflechamento das asas (sweepback) de aviões comerciais é empregado principalmente para:,Retardar os efeitos adversos da compressibilidade do ar em velocidades transônicas/altas,Aumentar enormemente a sustentação em baixas velocidades,Possibilitar pousos em pistas de terra curtas,Abaixar o centro de gravidade da aeronave,a,medium,"Asas enflechadas para trás ajudam a atrasar o estol de onda de choque quando a aeronave viaja a velocidades próximas a do som, tornando o voo em alta velocidade mais eficiente (mach crítico maior)."
teoria_de_voo,Um perfil aerodinâmico simétrico possui a característica de:,Gerar zero de sustentação com zero grau de ângulo de ataque,"Sempre produzir sustentação, mesmo em ângulo de ataque nulo",Ser utilizado apenas em hélices e não em asas,Estolar de maneira muito mais rápida que o assimétrico,a,medium,"Num perfil simétrico (mesma curvatura no intradorso e extradorso), a velocidade e pressão do ar passam iguais por cima e por baixo quando a asa está alinhada ao vento (0°). Logo, sem inclinação, ele não cria sustentação."
teoria_de_voo,A força aerodinâmica que se opõe diretamente ao movimento da aeronave pelo ar é chamada de:,Empuxo (Tração),Sustentação (Lift),Arrasto (Drag),Peso,c,easy,"O arrasto atua paralelamente e no sentido oposto ao do voo, resistindo ao avanço do avião através da massa de ar."
teoria_de_voo,O Arrasto Induzido é caracterizado por:,Ser causado pelo atrito do ar com a fuselagem da aeronave e aumentar com a velocidade,"Ser o subproduto da geração de sustentação, diminuindo consideravelmente em altas velocidades",Estar presente unicamente no trem de pouso estendido,Aumentar indefinidamente em mergulho acentuado,b,hard,"O Arrasto Induzido é o ""custo"" de se gerar sustentação (relacionado aos vórtices de ponta de asa). Ele é maior em baixas velocidades (maiores ângulos de ataque) e diminui conforme a aeronave acelera."
