bloco_id,text,option_a,option_b,option_c,option_d,correct_answer,difficulty,explanation
conhecimentos_tecnicos,Os motores a pistão utilizados na maioria das aeronaves leves de treinamento operam segundo o ciclo térmico de:,Diesel,Otto (quatro tempos),Brayton,Rankine,b,easy,"Os motores aeronáuticos a pistão tradicionais operam segundo o ciclo Otto, que possui quatro tempos teóricos: admissão, compressão, combustão (expansão) e escapamento."
conhecimentos_tecnicos,"Quais são as fases (tempos) do ciclo Otto em um motor a pistão, em ordem sequencial?","Admissão, expansão, compressão e escapamento","Compressão, admissão, expansão e escapamento","Admissão, compressão, combustão/expansão e escapamento","Admissão, ignição, combustão e escapamento",c,easy,"A sequência correta dos quatro tempos do ciclo Otto é: Admissão (mistura ar/combustível entra), Compressão (mistura é comprimida), Combustão/Expansão (mistura queima e empurra o pistão) e Escapamento (gases queimados são expulsos)."
conhecimentos_tecnicos,"No tempo de compressão de um motor a pistão de quatro tempos, as válvulas encontram-se:",Ambas abertas,Válvula de admissão aberta e de escapamento fechada,Ambas fechadas,Válvula de admissão fechada e de escapamento aberta,c,medium,"Durante a compressão, tanto a válvula de admissão quanto a de escapamento devem estar fechadas para garantir a vedação do cilindro e permitir que a mistura ar-combustível seja devidamente comprimida pelo pistão que sobe."
conhecimentos_tecnicos,"Em um motor de quatro tempos, o virabrequim (eixo de manivelas) dá quantas voltas completas para completar um ciclo operacional em um cilindro?",Uma volta,Duas voltas,Quatro voltas,Meia volta,b,medium,"Cada tempo (curso do pistão) corresponde a meia volta (180°) do eixo de manivelas. Logo, 4 tempos equivalem a 2 voltas completas (720°) do eixo de manivelas."
conhecimentos_tecnicos,O cruzamento de válvulas (valve overlap) em um motor a pistão ocorre quando:,Ambas as válvulas permanecem abertas no final do escapamento e início da admissão,Ambas as válvulas se fecham durante a compressão,Uma válvula abre enquanto a outra quebra,A válvula de admissão abre no final da compressão,a,medium,"O cruzamento de válvulas é o período em que tanto a válvula de admissão quanto a de escapamento estão abertas simultaneamente, ocorrendo no final do tempo de escapamento e no início do tempo de admissão, melhorando a limpeza do cilindro e a eficiência volumétrica."
conhecimentos_tecnicos,A cilindrada de um motor a pistão é definida como:,O volume da câmara de combustão,O volume deslocado pelo pistão em um cilindro multiplicado pelo número total de cilindros,A capacidade de combustível do cárter,A taxa de compressão do motor,b,easy,"Cilindrada é o volume de ar (ou mistura) deslocado pelo movimento do pistão do Ponto Morto Inferior (PMI) ao Ponto Morto Superior (PMS), multiplicado pelo número de cilindros do motor."
conhecimentos_tecnicos,O componente do motor responsável por transformar o movimento retilíneo alternativo do pistão em movimento rotativo é o:,Eixo de cames (eixo de comando de válvulas),Biela,Eixo de manivelas (virabrequim),Pino do pistão,c,easy,"O eixo de manivelas, em conjunto com a biela, converte o movimento retilíneo alternativo do pistão em movimento circular (rotativo) para girar a hélice."
conhecimentos_tecnicos,A biela conecta o pistão ao:,Eixo de comando de válvulas,Cilindro,Eixo de manivelas (virabrequim),Cárter,c,easy,"A biela é a haste de ligação que transmite a força de expansão dos gases, do pistão para o eixo de manivelas."
conhecimentos_tecnicos,Os anéis de segmento instalados nos pistões têm como principais funções:,Lubrificar a biela e resfriar o eixo de manivelas,"Vedar a câmara de combustão, raspar o excesso de óleo e transferir calor do pistão para a parede do cilindro",Sustentar o pino do pistão e aumentar o curso do cilindro,Diminuir a taxa de compressão do motor,b,medium,"Os anéis de compressão vedam a pressão da combustão, enquanto os anéis raspadores controlam o filme de óleo. Além disso, todos ajudam na transferência de calor do pistão para o cilindro."
conhecimentos_tecnicos,"Em um motor aeronáutico com cilindros opostos horizontalmente (ex: Boxer), o cárter tem a função principal de:",Garantir a combustão da mistura,Armazenar as velas de ignição,"Acondicionar o eixo de manivelas e, na maioria dos casos, servir de reservatório principal de óleo lubrificante (cárter úmido)",Gerar o vácuo para os instrumentos,c,easy,"O cárter é o corpo principal do motor que aloja o eixo de manivelas e seus mancais. Nos motores de cárter úmido, ele também é o reservatório de óleo lubrificante."
conhecimentos_tecnicos,A folga (clearance) térmica das válvulas de um motor a pistão é importante porque:,Permite que as válvulas dilatem com o calor sem ficarem presas (vazadas) durante o funcionamento do motor,Aumenta a compressão do motor quando frio,Reduz o consumo de combustível em marcha lenta,Acelera a ignição da vela,a,medium,"Os componentes metálicos se expandem com o calor. A folga garante que, mesmo aquecidas e dilatadas, as válvulas assentem perfeitamente em suas sedes, evitando perda de compressão."
conhecimentos_tecnicos,Detonação em um motor a pistão pode ser descrita como:,A queima suave e progressiva da mistura ar-combustível,Ocorrência de inflamação da mistura antes do centelhamento da vela,"A explosão súbita e violenta do final da carga da mistura ar-combustível, após o início da queima normal",A queima de óleo lubrificante dentro do cilindro,c,hard,"A detonação ocorre quando a porção final da mistura ar-combustível (end gas) atinge temperatura e pressão críticas e explode instantaneamente (queima descontrolada), gerando picos de pressão perigosos."
conhecimentos_tecnicos,A pré-ignição difere da detonação porque:,A pré-ignição ocorre após a centelha da vela,"A pré-ignição é o início da combustão antes do momento em que a vela lança a centelha, gerada por um ponto quente na câmara",A pré-ignição é normal em regimes de alta potência,A pré-ignição é resolvida usando combustível de menor octanagem,b,hard,A pré-ignição é causada por depósitos de carvão incandescentes ou eletrodos de vela muito quentes que inflamam a mistura antes do instante planejado da ignição pela vela.
conhecimentos_tecnicos,"Para evitar a detonação durante operações de alta potência (como a decolagem), o piloto deve:",Utilizar mistura rica e garantir arrefecimento adequado do motor,Empobrecer a mistura ao máximo,Reduzir a rotação e fechar os flapes de arrefecimento (cowl flaps),Utilizar combustível de menor octanagem,a,medium,"Mistura rica fornece excesso de combustível, cujo resfriamento por evaporação ajuda a abaixar as temperaturas do cilindro, afastando a ocorrência de detonação em alta potência."
conhecimentos_tecnicos,A principal vantagem dos sistemas de dupla ignição (duas velas e dois magnetos independentes por cilindro) em motores aeronáuticos é:,Aumentar a economia de combustível,Aumentar a confiabilidade (segurança) e melhorar a eficiência da queima da mistura (duas frentes de chama),Permitir o uso de combustível automotivo,Facilitar a partida com bateria descarregada,b,easy,"A dupla ignição traz dois benefícios maiores: segurança (se um magneto falhar, o outro mantém o motor rodando) e melhor combustão, já que duas centelhas iniciam frentes de chama simultâneas."
conhecimentos_tecnicos,O que é um magneto em uma aeronave?,Um gerador de corrente elétrica que recarrega a bateria da aeronave,Um sensor de campo magnético usado para a bússola,"Um gerador elétrico independente, acionado pelo motor, que gera alta voltagem para as velas de ignição",O motor de arranque da aeronave,c,easy,"O magneto é uma unidade autônoma geradora de alta tensão para a ignição. Sendo acionado pelo eixo do próprio motor, não depende da bateria ou do alternador para fornecer centelha às velas."
conhecimentos_tecnicos,"Se você desligar a chave Master (bateria/alternador) em voo, o que acontecerá com o motor a pistão convencional da aeronave?",O motor vai parar imediatamente por falta de centelha,O motor perderá potência progressivamente,"O motor continuará funcionando normalmente, pois os magnetos são independentes do sistema elétrico da aeronave",A mistura ar-combustível ficará super rica,c,medium,"Os magnetos são dispositivos mecânicos geradores da própria energia elétrica, independentes do sistema elétrico principal (bateria e alternador). O motor continuará gerando centelha normalmente."
conhecimentos_tecnicos,"No teste de magnetos (checagem de motor antes da decolagem), ao desligar um dos magnetos (chave em L ou R), o que se deve observar normalmente no RPM?",Aumento de 100 RPM,Nenhuma alteração de RPM,Uma pequena queda na RPM dentro dos limites especificados pelo fabricante,O motor deve apagar,c,medium,"Operando em apenas um magneto, há somente uma frente de chama no cilindro (uma vela centelhando), resultando numa queima ligeiramente menos eficiente, o que causa uma leve e prevista queda de RPM (normalmente entre 50 e 150 RPM)."
conhecimentos_tecnicos,A finalidade básica do carburador em um motor a pistão é:,Filtrar as impurezas do combustível,Aumentar a octanagem do combustível antes de enviá-lo ao cilindro,Dosar e misturar adequadamente o combustível e o ar nas proporções corretas para a combustão,Atomizar o óleo lubrificante no cárter,c,easy,"O carburador é responsável por medir o fluxo de ar que entra no motor e pulverizar a quantidade exata de combustível correspondente, formando a mistura ar-combustível necessária."
