bloco_id,text,option_a,option_b,option_c,option_d,correct_answer,difficulty,explanation
navegacao,Qual é a escala da carta WAC (World Aeronautical Chart)?,1:1.000.000,1:500.000,1:250.000,1:2.000.000,0,easy,"A WAC possui escala 1:1.000.000, sendo utilizada para planejamento de voos de longa distância."
navegacao,Qual é a escala da carta ONC (Operational Navigation Chart)?,1:2.000.000,1:1.000.000,1:500.000,1:250.000,1,easy,"A ONC possui escala 1:1.000.000, sendo equivalente à WAC, utilizada para navegação operacional."
navegacao,A carta TPC (Tactical Pilotage Chart) possui qual escala?,1:1.000.000,1:250.000,1:500.000,1:100.000,2,easy,"A TPC possui escala 1:500.000, fornecendo maior detalhe que a WAC para navegação tática."
navegacao,A carta ADC (Aerodrome Chart) é utilizada principalmente para:,Navegação em rota de longa distância,Procedimentos de aproximação por instrumentos,Orientação no solo e movimentação no aeródromo,Planejamento de desvio de rotas,2,easy,"A ADC (Aerodrome Chart) mostra o layout do aeródromo, pistas, taxiways e auxílios em solo para orientação no aeroporto."
navegacao,A carta IAC (Instrument Approach Chart) é utilizada para:,Planejamento de voos VFR,Procedimentos de aproximação por instrumentos,Representação da estrutura do espaço aéreo,Cálculo de consumo de combustível,1,easy,A IAC contém todos os dados necessários para executar um procedimento de aproximação por instrumentos (IFR).
navegacao,O que representa uma carta SID (Standard Instrument Departure)?,Procedimento de aproximação por instrumentos,Rota de saída padronizada por instrumentos de um aeródromo,Carta de chegada padronizada por instrumentos,Carta de área terminal,1,easy,A SID (Standard Instrument Departure) define rotas padronizadas de saída por instrumentos de um aeródromo.
navegacao,O que é uma carta STAR (Standard Terminal Arrival Route)?,Procedimento de saída padrão,Rota de chegada padronizada por instrumentos ao aeródromo,Carta de área de controle terminal,Carta de aproximação visual,1,easy,A STAR define rotas padronizadas de chegada por instrumentos a um aeródromo.
navegacao,A carta ARC (Airport Reference Code Chart) é utilizada para:,Classificação de aeronaves e compatibilidade com aeródromos,Procedimentos de saída por instrumentos,Representação de rotas ATS,Cálculo de derive de vento,0,medium,"O ARC classifica aeronaves por código e letra, relacionando o tamanho da aeronave com as características do aeródromo."
navegacao,"Em uma carta de escala 1:500.000, uma distância de 2 cm no mapa corresponde a quantos quilômetros no terreno?",5 km,10 km,20 km,1 km,1,easy,2 cm × 500.000 = 1.000.000 cm = 10.000 m = 10 km.
navegacao,"Em uma carta de escala 1:1.000.000, uma distância de 5 cm equivale a:",25 km,50 km,100 km,500 km,1,easy,5 cm × 1.000.000 = 5.000.000 cm = 50.000 m = 50 km.
