bloco_id,text,option_a,option_b,option_c,option_d,correct_answer,difficulty,explanation
meteorologia,Qual é a camada da atmosfera onde ocorrem a maioria dos fenômenos meteorológicos que afetam a aviação?,Estratosfera,Troposfera,Mesosfera,Ionosfera,1,easy,"A troposfera é a camada mais baixa da atmosfera, onde ocorrem praticamente todos os fenômenos meteorológicos relevantes para a aviação."
meteorologia,Qual é a altitude aproximada da tropopausa nas regiões tropicais?,6.000 a 8.000 pés,20.000 a 25.000 pés,36.000 a 56.000 pés,60.000 a 70.000 pés,2,medium,"Nas regiões tropicais, a tropopausa situa-se entre aproximadamente 36.000 e 56.000 pés (11 a 17 km), sendo mais alta que nas regiões polares."
meteorologia,Qual característica define a estratosfera em relação à temperatura?,A temperatura diminui com a altitude,A temperatura permanece constante ou aumenta com a altitude,A temperatura oscila aleatoriamente,A temperatura é sempre negativa,1,medium,"Na estratosfera, a temperatura permanece constante na parte inferior (isotérmica) e depois aumenta com a altitude devido à absorção de radiação ultravioleta pelo ozônio."
meteorologia,A tropopausa é definida como:,A camada onde a temperatura é mínima absoluta,O limite entre a troposfera e a estratosfera,A camada onde ocorrem as auroras boreais,O limite entre a mesosfera e a termosfera,1,easy,"A tropopausa é a zona de transição (limite) entre a troposfera, onde a temperatura cai com a altitude, e a estratosfera."
meteorologia,"Qual camada da atmosfera é responsável pela reflexão das ondas de rádio, sendo importante para comunicações de longa distância?",Troposfera,Estratosfera,Mesosfera,Ionosfera,3,easy,"A ionosfera contém partículas ionizadas que refletem ondas de rádio de determinadas frequências, possibilitando comunicações de longa distância."
meteorologia,"Nas regiões polares, a tropopausa se encontra a uma altitude aproximada de:",7.000 a 10.000 m,17.000 a 20.000 m,25.000 a 30.000 m,35.000 a 40.000 m,0,medium,"Nas regiões polares, a tropopausa é mais baixa, situando-se entre 7 e 10 km de altitude, em contraste com os trópicos onde pode atingir 17 km."
meteorologia,"O gradiente de temperatura padrão na troposfera, segundo a ISA, é de:",-1°C a cada 1.000 pés,-2°C a cada 1.000 pés,-3°C a cada 1.000 pés,"-0,5°C a cada 1.000 pés",1,easy,"A Atmosfera Padrão Internacional (ISA) define o gradiente de temperatura na troposfera como -2°C por 1.000 pés de aumento de altitude (ou -6,5°C por km)."
meteorologia,A composição da atmosfera ao nível do mar é predominantemente:,50% nitrogênio e 49% oxigênio,78% nitrogênio e 21% oxigênio,60% oxigênio e 39% nitrogênio,90% nitrogênio e 10% argônio,1,easy,"A atmosfera seca ao nível do mar é composta por aproximadamente 78% de nitrogênio (N₂) e 21% de oxigênio (O₂), além de argônio e outros gases."
meteorologia,O que acontece com a densidade do ar à medida que a altitude aumenta?,A densidade aumenta proporcionalmente à altitude,A densidade permanece constante até a tropopausa,A densidade diminui com o aumento da altitude,A densidade aumenta até 10.000 pés e depois diminui,2,easy,"A densidade do ar diminui com o aumento da altitude, pois há menos moléculas de ar em volumes maiores à medida que se sobe."
meteorologia,"Na ISA (Atmosfera Padrão Internacional), qual é a temperatura ao nível do mar?",0°C,10°C,15°C,25°C,2,easy,"A ISA define a temperatura padrão ao nível do mar como 15°C (59°F), com pressão de 1013,25 hPa e densidade de 1,225 kg/m³."
meteorologia,"Na ISA, qual é a pressão atmosférica padrão ao nível do mar?",1.000 hPa,"1.013,25 hPa",1.020 hPa,1.030 hPa,1,easy,"A pressão padrão da ISA ao nível do mar é 1.013,25 hPa (ou 29,92 inHg), que é a base para os cálculos de nível de voo."
meteorologia,Acima de qual altitude a ISA define uma temperatura constante (isotérmica)?,20.000 pés,26.000 pés,36.089 pés,45.000 pés,2,hard,"Na ISA, a temperatura cai até -56,5°C na tropopausa (36.089 pés ou 11.000 m) e permanece constante até aproximadamente 65.617 pés (20 km), início da estratosfera superior."
