bloco_id,text,option_a,option_b,option_c,option_d,correct_answer,difficulty,explanation
regulamentos_de_trafego_aereo,"Com o objetivo de chamar a atenção para a aeronave entre o pôr e nascer-do-sol, ou em qualquer outro período julgado necessário, todas as aeronaves em vôo deverão exibir luzes:",de táxi,de pouso,anticolisão,,0,medium,PPAV - PP-01
comunicacoes,"Na prestação do ALRS, quando se receber informações que indiquem que as condições operacionais da aeronave são anormais, mas não indicando que seja possível um pouso forçado, caracteriza a fase de:",perigo,alerta,incerteza,urgência,0,medium,PPAV - PP-01
comunicacoes,"Não havendo VAC e não sendo recebida nenhuma instrução específica da torre uma aeronave executando o circuito para pouso, ao fim da perna do vento, deverá: curvar a direita e alinhar-se com a RWY curvar a esquerda e alinhar-se com a RWY voar transversalmente ao eixo da RWY para interceptar a reta final voar transversalmente ao eixo da RWY cruzando o segmento de decolagem Os vôos de formação de aeronaves civis deverão ser previamente autorizados pelo órgão competente do(",ANAC,DECEA,CENIPA,COMAR,0,medium,PPAV - PP-01
comunicacoes,Pode-se afirmar que uma aeronave voando no FL 150 não estará sob:,VFR,IFR,IMC,VMC,0,medium,PPAV - PP-01
comunicacoes,"O limite vertical superior do espaço aéreo inferior é (inclusive), o FL:",035,145,195,245,0,medium,PPAV - PP-01
comunicacoes,"Um triângulo vazado, sem estar em negrito, encontrado nas cartas aeronáuticas, indica um:",RELIN,RICEA,RELOS,"RELIAA Uma aeronave será considerada em manobras em área aeroportuária, quando estiver: estiver sendo movimentada ou rebocada com os motores em funcionamento iniciar a corrida de decolagem com as portas fechadas",0,medium,PPAV - PP-01
comunicacoes,"Quando necessário será dada uma autorização ATC para pouso, através de em um sinal de luz:",verde contínua,vermelha contínua,verde intermitente,branca intermitente,0,medium,PPAV - PP-01
regulamentos_de_trafego_aereo,"O vôo VFR em espaço aéreo classe G, no FL 095 ou abaixo, terá como limite de velocidade:",alerta,perigo,incerteza,interceptação SAR,0,medium,PPAV - PP-01
regulamentos_de_trafego_aereo,A autoridade competente para autorizar a realização de uma atividade técnica específica de uma aeronave civil é o(a):,ANAC,SEPC,DECEA,COMAER,0,medium,PPAV - PP-01
navegacao,"Com o objetivo de indicar a trajetória relativa da aeronave, entre o pôr e o nascer-do-sol, ou em qualquer outro período julgado necessário, todas aeronaves em vôo deverão exibir luzes:",de táxi,de pouso,anticolisão,,0,medium,PPAV - PP-01
