bloco_id,text,option_a,option_b,option_c,option_d,correct_answer,difficulty,explanation
navegacao,"A projeção cartográfica mais utilizada na navegação aérea, na qual os meridianos e paralelos se cruzam em ângulos retos e uma linha reta representa uma loxodrômia, é a projeção:",Cônica Conforme de Lambert,Mercator,Gnomônica,Estereográfica Polar,b,easy,"Na projeção de Mercator, os paralelos e meridianos formam ângulos de 90 graus. A principal característica é que qualquer reta traçada sobre ela é uma loxodrômia (linha de rumo constante)."
navegacao,O ângulo formado entre o Norte Verdadeiro e o Norte Magnético é denominado:,Desvio Bússola,Declinação Magnética,Rumo Magnético,Linha Isogônica,b,easy,A diferença angular entre o Norte Verdadeiro (Geográfico) e o Norte Magnético em um dado ponto da Terra é a Declinação Magnética (Duração ou Variação).
navegacao,As linhas traçadas nas cartas aeronáuticas que unem pontos de mesma declinação magnética são chamadas de:,Isotérmicas,Isogônicas,Agônicas,Loxodrômicas,b,easy,Linhas Isogônicas unem pontos com o mesmo valor de declinação magnética. A linha que une os pontos onde a declinação é zero chama-se linha Agônica.
navegacao,"Para converter um Rumo Verdadeiro (RV) em Rumo Magnético (RM), o piloto deve:",Somar a declinação magnética se for Este (E) e subtrair se for Oeste (W),Subtrair a declinação magnética se for Este (E) e somar se for Oeste (W),Sempre somar a declinação,Sempre subtrair a declinação,b,medium,"A regra fundamental é: RM = RV - DgE (subtrai declinação Este) ou RM = RV + DgW (soma declinação Oeste). Lembrete: ""Oeste entra (soma), Este sai (subtrai)""."
navegacao,"A bússola magnética da aeronave é afetada por campos magnéticos do próprio avião (equipamentos elétricos, motor, estrutura metálica). Este erro específico é conhecido como:",Declinação,Variação Magnética,Desvio de Bússola (Deviation),Precessão,c,medium,"O Desvio de Bússola (Deviation) é o erro causado pelo campo magnético da própria aeronave, afetando a bússola."
navegacao,O erro de inclinação (Dip Error) da bússola magnética é mais severo em quais regiões do globo?,No Equador,Nas baixas latitudes,Nos Polos (altas latitudes),Ao nível do mar,c,medium,"O campo magnético terrestre mergulha (inclina-se) em direção à Terra próximo aos polos magnéticos. Este mergulho puxa a agulha para baixo, causando o maior erro de inclinação magnética nessas regiões."
navegacao,"Devido ao erro de aceleração da bússola, se uma aeronave acelera em uma proa Leste (E) ou Oeste (W) no Hemisfério Sul, a bússola indicará uma falsa curva para o:",Norte,Sul,Leste,Oeste,b,hard,"A regra mnemônica no hemisfério Sul (ANDS: Accelerate North, Decelerate South não funciona no sul; no Sul inverte). No hemisfério Sul, ao acelerar em rumo E/W a bússola indica Sul; ao desacelerar indica Norte."
navegacao,A menor distância entre dois pontos na superfície da Terra é representada por uma linha denominada:,Loxodrômia,Ortodrômia (Círculo Máximo),Linha Isogônica,Meridiano Magnético,b,easy,Um círculo máximo (Ortodrômia) é o maior círculo que pode ser desenhado ao redor da Terra e a parte deste arco entre dois pontos é sempre a menor distância.
navegacao,"A latitude é a distância em graus, minutos e segundos, medida a partir do:","Meridiano de Greenwich, podendo variar de 0° a 180° E/W","Equador, podendo variar de 0° a 90° N/S","Polo Norte, podendo variar de 0° a 180° S","Linha do Equador, podendo variar de 0° a 180° N/S",b,easy,"A latitude tem o Equador como origem (0°) e é medida ao longo de um meridiano, de 0° até 90° em direção ao Norte (N) ou ao Sul (S)."
navegacao,Cada fuso horário teórico abrange uma faixa de longitude de:,10 graus,15 graus,20 graus,24 graus,b,easy,"A Terra gira 360 graus em 24 horas. Portanto, 360° / 24h = 15° por hora. Cada fuso horário corresponde a uma largura de 15 graus de longitude."
navegacao,"Se são 10:00 HLE (Hora Local) no Rio de Janeiro, sabendo que a cidade encontra-se no fuso P (+3, ou 45°W), qual será a hora UTC (ZULU)?",07:00Z,10:00Z,13:00Z,15:00Z,c,medium,"O Rio de Janeiro (45°W) tem fuso de +3 horas em relação ao Meridiano de Greenwich. Para achar a hora UTC (Z), somam-se 3 horas à hora local. 10:00 + 03:00 = 13:00Z."
navegacao,"No computador de voo, o lado da face de vento é utilizado para calcular principalmente:",Consumo de combustível e tempo em rota,"Velocidade verdadeira (VA) e velocidade no solo (VS), Rumo (RV) e Proa (PV)",Altitude densidade e conversões de unidades,Distância em milhas náuticas a partir de graus,b,medium,"A face do vento (disco de vento) resolve o triângulo de velocidades para encontrar a correção de deriva (WCA), velocidade de solo (VS/GS) e proa, dados o vento, a velocidade aerodinâmica e o rumo desejado."
navegacao,A Velocidade Indicada (VI/IAS) corrigida para os erros de instalação e posição do sistema de pitot-estático resulta na:,Velocidade Verdadeira (VA),Velocidade no Solo (VS),Velocidade Calibrada (VC/CAS),Velocidade Equivalente (VE),c,medium,Velocidade Calibrada (CAS - Calibrated Airspeed) é a velocidade indicada (IAS) corrigida para erros do instrumento e de posição da tomada estática/tubo de pitot.
navegacao,A velocidade com a qual a aeronave avança efetivamente em relação ao ar que a cerca (corrigida para temperatura e densidade) é a:,Velocidade Calibrada (VC),Velocidade no Solo (VS),Velocidade Equivalente (VE),Velocidade Verdadeira (VA / TAS),d,medium,Velocidade Verdadeira (TAS - True Airspeed) é a velocidade da aeronave relativa à massa de ar. É a IAS corrigida para densidade (altitude pressão e temperatura).
navegacao,"A velocidade real com que a aeronave se desloca em relação à superfície da Terra, resultante do efeito do vento sobre a Velocidade Verdadeira (VA), é a:",Velocidade no Solo (VS / GS),Velocidade Indicada (VI),Velocidade Absoluta (VAb),Velocidade Loxodrômica (VL),a,easy,Velocidade no Solo (Ground Speed - GS) é a velocidade de avanço da aeronave em relação ao solo. GS = TAS mais ou menos a componente de vento de cauda/proa.
navegacao,O ângulo formado entre o Eixo Longitudinal da aeronave (Proa) e a trajetória real que ela está descrevendo no solo (Rumo) denomina-se:,Ângulo de correção de deriva,Ângulo de caranguejo,Deriva,Inclinação,c,medium,A Deriva é o ângulo entre a proa que o avião aponta e a rota (rumo) real que ele desenha sobre o chão devido à ação do vento lateral.
navegacao,"Para neutralizar a deriva e manter o avião na rota traçada (Rumo desejado), o piloto deve aplicar uma correção de proa contra a direção do vento. Este ângulo calculado chama-se:",Declinação,Variação de bússola,Correção de Deriva (WCA),Inclinação lateral,c,medium,"A Correção de Deriva (Wind Correction Angle - WCA) é o ângulo que o piloto aplica à proa para voar ""caranguejando"" contra o vento, mantendo-se na linha de Rumo."
navegacao,"Qual é a finalidade principal do ""Ponto de Não Retorno"" (PNR) no planejamento de navegação?",O ponto na rota em que a altitude cruzeiro deve ser abandonada para descida,O limite geográfico onde o radar perde o contato com a aeronave,O ponto a partir do qual é mais rápido prosseguir ao destino do que retornar ao ponto de partida,A distância máxima que a aeronave pode voar rumo a um destino e ainda ter combustível suficiente para regressar ao ponto de partida,d,medium,Point of No Return (PNR) define o momento/distância em que a aeronave não tem mais combustível (considerando as reservas exigidas) para dar meia-volta e retornar à origem com segurança.
navegacao,"O ""Ponto Equitempo"" (PET) ou Point of Equal Time, indica:",O ponto em que a aeronave atinge a mesma velocidade de outro tráfego,O ponto da rota no qual o tempo necessário para prosseguir ao destino é igual ao tempo necessário para retornar ao ponto de partida,A hora local onde ocorre o equinócio,O momento de alterar o ajuste de altímetro,b,medium,"O PET divide a rota em dois segmentos de igual tempo, baseado nos ventos (geralmente com vento de proa na ida, o PET aproxima-se do destino)."
navegacao,"Em uma carta WAC (World Aeronautical Chart), a escala normalmente utilizada é:",1:500.000,1:1.000.000,1:250.000,1:2.000.000,b,easy,A Carta Aeronáutica Mundial (WAC) usa a escala de 1:1.000.000. Essa é a carta padrão mais comum para navegação VFR em rota.
