bloco_id,text,option_a,option_b,option_c,option_d,correct_answer,difficulty,explanation
regulamentos_de_trafego_aereo,"No espaço aéreo brasileiro, qual classe de espaço aéreo é designada para operações IFR e VFR, sendo que o serviço de controle de tráfego aéreo é prestado a ambas as operações?",Classe A,Classe C,Classe F,Classe G,1,medium,"No espaço aéreo Classe C, tanto voos IFR quanto VFR recebem serviço de controle de tráfego aéreo. Voos IFR são separados de outros IFR e VFR; voos VFR são separados de IFR e recebem informação de tráfego VFR."
regulamentos_de_trafego_aereo,Qual classe de espaço aéreo é reservada exclusivamente para operações IFR no Brasil?,Classe B,Classe C,Classe A,Classe D,2,easy,O espaço aéreo Classe A é reservado exclusivamente para operações IFR. Todos os voos são sujeitos ao serviço de controle de tráfego aéreo e recebem separação entre si.
regulamentos_de_trafego_aereo,"Em qual classe de espaço aéreo os voos VFR não precisam de autorização ATC para entrar, mas recebem apenas informações de voo (FIS)?",Classe C,Classe D,Classe E,Classe G,3,medium,"No espaço aéreo Classe G (não controlado), os voos VFR não precisam de autorização ATC e recebem apenas o serviço de informação de voo quando disponível. Não há separação provida."
regulamentos_de_trafego_aereo,"Segundo o RBAC 91, o espaço aéreo controlado inferior no Brasil compreende o espaço aéreo desde a superfície até o nível de voo:",FL 195,FL 245,FL 285,FL 600,1,hard,"O espaço aéreo controlado inferior no Brasil vai da superfície até FL 245 (exclusive). Acima de FL 245 inicia-se o espaço aéreo superior, que é Classe A."
regulamentos_de_trafego_aereo,"No espaço aéreo Classe D, qual serviço é fornecido aos voos VFR?",Separação com todos os outros voos,Apenas serviço de informação de voo,Separação de IFR e informação de tráfego sobre outros VFR,Nenhum serviço ATC,2,medium,"No Classe D, voos VFR recebem separação de voos IFR e informações de tráfego sobre outros voos VFR. A separação entre VFR não é fornecida pelo ATC."
regulamentos_de_trafego_aereo,Qual é o limite superior do espaço aéreo superior (Upper Information Region - UIR) no Brasil?,FL 450,FL 600,Ilimitado,FL 999,2,hard,"O espaço aéreo superior vai de FL 245 até ilimitado (unlimited). É designado como espaço aéreo Classe A, onde apenas voos IFR são permitidos."
regulamentos_de_trafego_aereo,"Em qual classe de espaço aéreo o piloto VFR deve estabelecer contato com o ATC antes de entrar, mas a separação entre VFR não é garantida?",Classe B,Classe C,Classe D,Classe E,2,medium,"No espaço aéreo Classe D, voos VFR precisam de autorização prévia do ATC, porém a separação é fornecida apenas entre IFR e VFR. A separação entre VFR não é garantida."
regulamentos_de_trafego_aereo,"Em espaço aéreo não controlado (Classe G) abaixo de 900 m (3.000 ft) AMSL e acima de terreno, qual é a visibilidade mínima exigida para operações VFR no Brasil?",1.500 m,3.000 m,5.000 m,8.000 m,0,hard,"Em espaço aéreo Classe G abaixo de 900 m AMSL ou abaixo de 300 m acima do terreno (o que for maior), a visibilidade mínima exigida é de 1.500 m. Esta é uma exceção às regras gerais de visibilidade VFR."
regulamentos_de_trafego_aereo,Qual órgão ATC é responsável pelo controle de tráfego aéreo em rota dentro de uma FIR?,TWR (Torre de Controle),APP (Aproximação),ACC (Centro de Controle de Área),AFIS (Serviço de Informação de Voo de Aeródromo),2,easy,"O ACC (Centro de Controle de Área) é responsável pelo controle de tráfego aéreo em rota, gerenciando o espaço aéreo da FIR em altitudes de cruzeiro."
regulamentos_de_trafego_aereo,O AFIS (Aerodrome Flight Information Service) difere da TWR porque:,O AFIS controla aeronaves e emite autorizações obrigatórias,"O AFIS apenas fornece informações, sem autoridade para emitir autorizações de controle",O AFIS opera apenas em aeródromos com tráfego IFR,O AFIS é exclusivo para helicópteros,1,medium,"O AFIS é um serviço de informação de voo de aeródromo que fornece informações úteis para aeronaves, mas não emite autorizações de controle. A responsabilidade pela separação é do piloto."
regulamentos_de_trafego_aereo,Qual órgão ATC é responsável pelo controle de aeronaves na área de controle terminal (TMA)?,ACC,TWR,APP,ATIS,2,easy,"O APP (Órgão de Controle de Aproximação) é responsável pelo controle de tráfego aéreo na TMA (Terminal Maneuvering Area), coordenando chegadas e partidas de aeródromos controlados."
regulamentos_de_trafego_aereo,A TWR (Torre de Controle de Aeródromo) exerce controle sobre:,Apenas aeronaves em solo,"Aeronaves no circuito de tráfego, na área de manobras e na CTR",Apenas aeronaves em final de pouso,Somente aeronaves IFR dentro da TMA,1,medium,A TWR controla aeronaves em voo na CTR (incluindo circuito de tráfego e fases de decolagem/pouso) e na área de manobras do aeródromo (pistas e pistas de táxi).
regulamentos_de_trafego_aereo,Qual é a principal diferença entre um aeródromo controlado e um aeródromo com AFIS?,Aeródromo controlado tem pista pavimentada e AFIS não,Aeródromo controlado tem TWR que emite autorizações; aeródromo com AFIS apenas fornece informações,Aeródromo com AFIS opera 24 horas; aeródromo controlado tem horário limitado,Não há diferença operacional entre os dois tipos,1,easy,"A principal diferença é que em aeródromos controlados a TWR emite autorizações ATC obrigatórias, enquanto aeródromos com AFIS apenas fornecem informações de voo sem autoridade de controle."
regulamentos_de_trafego_aereo,Com quanto tempo de antecedência mínima deve ser apresentado o Plano de Voo (FPL) antes do EOBT para voos em espaço aéreo controlado?,30 minutos,60 minutos,90 minutos,120 minutos,1,medium,"O FPL deve ser apresentado com no mínimo 60 minutos antes do EOBT (Estimated Off-Block Time) para voos em espaço aéreo controlado, conforme as normas do DECEA."
regulamentos_de_trafego_aereo,O que significa a sigla AFIL no contexto do Plano de Voo?,Plano de voo apresentado em voo (Air Filed),Plano de voo arquivado (Archived Flight Plan),Autorização de Frequência de Intercomunicação em Linha,Código de Afiliação Aeronáutica,0,medium,"AFIL significa Air Filed, ou seja, plano de voo apresentado enquanto a aeronave já está em voo. É indicado no campo 18 do formulário de plano de voo com a abreviação AFIL."
regulamentos_de_trafego_aereo,O RPL (Repetitive Flight Plan) é utilizado para:,Voos que repetem exatamente a mesma rota regularmente,Voos de repetição de decolagem após abortagem,Plano de voo arquivado para emergências,Plano de voo simplificado para helicópteros,0,medium,"O RPL (Plano de Voo Repetitivo) é usado por operadores que realizam voos com a mesma rota, mesmas características e em horários regulares, evitando a necessidade de apresentar um novo FPL a cada voo."
regulamentos_de_trafego_aereo,O que é NTV no contexto das normas ATC brasileiras?,Notificação de Tráfego Verificado,Notificação de Tráfego Visual,Aviso de Tráfego Nocturno para VFR,Notificação de Tráfego por Voo,1,hard,"NTV (Notificação de Tráfego Visual) é utilizada para comunicar às aeronaves sobre outros tráfegos observados visualmente, no contexto das fraseologias e procedimentos ATC brasileiros."
regulamentos_de_trafego_aereo,Qual campo do formulário de Plano de Voo indica o tipo de regras de voo?,Campo 7,Campo 8,Campo 9,Campo 10,1,medium,"O Campo 8 do formulário ICAO de Plano de Voo indica o tipo de regras de voo (I=IFR, V=VFR, Y=IFR primeiro depois VFR, Z=VFR primeiro depois IFR) e o tipo de voo."
regulamentos_de_trafego_aereo,Quando um piloto VFR deve fechar seu plano de voo após a aterrissagem?,O plano é fechado automaticamente pelo ATC após a aterrissagem,Em até 30 minutos após a aterrissagem,O piloto deve informar o fechamento ao órgão ATC competente assim que possível,Apenas se solicitado pela TWR,2,medium,"O piloto é responsável por fechar o plano de voo após a aterrissagem, informando o órgão ATC competente (TWR, APP, ACC ou ARO) da chegada, pois caso contrário pode ser iniciada a fase INCERFA."
regulamentos_de_trafego_aereo,Qual é a fase do ALRS em que se suspeita que uma aeronave e seus ocupantes estão em perigo grave e iminente e necessitam de assistência imediata?,INCERFA,ALERFA,DETRESFA,MAYDAY,2,easy,"DETRESFA (Distress Phase) é a fase de socorro, em que se tem certeza que a aeronave e seus ocupantes estão em perigo grave e iminente, necessitando de assistência imediata."
regulamentos_de_trafego_aereo,A fase INCERFA é declarada quando:,Há certeza de que a aeronave está em perigo iminente,Há incerteza quanto à segurança da aeronave e seus ocupantes,O piloto declarou emergência pelo rádio,A aeronave desviou significativamente de sua rota,1,easy,INCERFA (Uncertainty Phase) é declarada quando há incerteza quanto à segurança de uma aeronave e seus ocupantes. É o primeiro estágio do sistema ALRS.
regulamentos_de_trafego_aereo,"Quanto tempo após o EOBT, sem notícias da aeronave, deve ser declarada a fase INCERFA?",15 minutos,30 minutos,45 minutos,60 minutos,1,medium,"A fase INCERFA é declarada quando transcorreram 30 minutos após o EOBT e a aeronave não decolou, ou após 30 minutos do horário estimado de chegada sem notícias."
regulamentos_de_trafego_aereo,O SALVAERO é o órgão responsável por coordenar as operações de busca e salvamento (SAR) no Brasil sob qual organização?,DECEA,ANAC,FAB (Força Aérea Brasileira),INFRAERO,2,medium,"O SALVAERO (Serviço de Busca e Salvamento) opera sob a FAB (Força Aérea Brasileira), sendo responsável pela coordenação das operações SAR no Brasil."
regulamentos_de_trafego_aereo,A fase ALERFA é declarada quando:,A fase INCERFA foi considerada inadequada e há maior preocupação,O piloto declarou PAN PAN,Houve falha de comunicação por mais de 5 minutos,A aeronave pousou em aeródromo alternativo,0,medium,"ALERFA (Alert Phase) é declarada quando a fase INCERFA foi inadequada e há necessidade de alerta, ou seja, há mais preocupação com a segurança da aeronave, porém ainda não há certeza de perigo iminente."
regulamentos_de_trafego_aereo,Qual é a visibilidade mínima exigida para operações VFR em espaço aéreo controlado acima de 3.050 m (10.000 ft) AMSL?,3.000 m,5.000 m,8.000 m,10.000 m,2,medium,"Em espaço aéreo controlado acima de 10.000 ft AMSL, a visibilidade mínima para VFR é de 8 km (8.000 m), com separação das nuvens de 300 m vertical e 1.500 m horizontal."
regulamentos_de_trafego_aereo,Qual a regra geral de separação das nuvens para voos VFR em espaço aéreo controlado entre 300 m (1.000 ft) e 3.050 m (10.000 ft)?,150 m vertical e 600 m horizontal,300 m vertical e 1.500 m horizontal,500 m vertical e 2.000 m horizontal,1.000 ft vertical e 1 NM horizontal,1,medium,"Para VFR em espaço aéreo controlado entre 1.000 ft e 10.000 ft AMSL, a separação das nuvens é de 300 m (1.000 ft) verticalmente e 1.500 m (1 NM) horizontalmente."
regulamentos_de_trafego_aereo,O voo VFR especial (SVFR) permite que uma aeronave opere:,Acima das nuvens em qualquer condição,"Em uma CTR com condições meteorológicas abaixo do mínimo VFR, com autorização ATC",Em espaço aéreo Classe A sem transponder,Somente à noite em aeródromos controlados,1,medium,"O SVFR (Voo VFR Especial) permite que uma aeronave opere dentro de uma CTR com condições meteorológicas abaixo dos mínimos VFR normais, desde que autorizado pelo ATC e mantendo a aeronave livre de obstáculos."
regulamentos_de_trafego_aereo,Qual é a altitude máxima permitida para operações VFR em espaço aéreo não controlado sem restrição de equipamentos?,FL 175,FL 195,FL 245,Não há limite para VFR em espaço não controlado,1,hard,"No Brasil, voos VFR são permitidos até FL 195 no espaço aéreo inferior. Acima de FL 195, o espaço aéreo superior exige IFR (espaço Classe A)."
regulamentos_de_trafego_aereo,"Em operações IFR, qual é o requisito mínimo de combustível além da reserva final de 45 minutos?",Combustível para o destino mais 15 minutos,Combustível para o destino mais 30 minutos de alternância,Combustível para o destino mais combustível para o alternante,"Combustível para o destino, para o alternante e reserva final de 45 minutos",3,medium,"Para IFR, o piloto deve carregar combustível para: (1) voar até o aeródromo de destino, (2) voar até o alternante (quando exigido), e (3) reserva final de 45 minutos a velocidade de cruzeiro."
regulamentos_de_trafego_aereo,Qual é o sentido padrão (convencional) do circuito de tráfego de aeródromo?,Curvas à direita,Curvas à esquerda,"Pode ser em qualquer sentido, à escolha do piloto",Determinado pela direção do vento,1,easy,O sentido padrão (convencional) do circuito de tráfego é com curvas à esquerda. O sentido oposto (curvas à direita) é denominado não convencional e deve estar publicado.
regulamentos_de_trafego_aereo,Qual é a perna do circuito de tráfego que é paralela à pista e executada no sentido oposto à aterrissagem?,Perna do vento,Través,Perna base,Final,0,easy,"A perna do vento (downwind leg) é a perna do circuito paralela à pista no sentido oposto à aterrissagem. O avião voa em direção contrária ao pouso, com a pista ao lado."
regulamentos_de_trafego_aereo,"Na perna de través (crosswind leg) do circuito de tráfego, em qual direção o avião voa em relação à pista?","Paralelo à pista, no sentido do pouso","Perpendicular à pista, após a decolagem",Em diagonal para o final,Em direção à cabeceira de pouso,1,easy,"A perna de través (crosswind) é perpendicular à pista e executada após a subida inicial, conectando a decolagem à perna do vento (downwind). O avião vira 90° após a decolagem."
regulamentos_de_trafego_aereo,Um piloto em perna base (base leg) está:,Em linha reta alinhado com a pista,Paralelo à pista no sentido oposto ao pouso,"Em segmento perpendicular à pista, entre downwind e final",Executando a aproximação final para pouso,2,easy,A perna base (base leg) conecta a perna do vento (downwind) ao final. É perpendicular à pista e o piloto está se preparando para virar para o final e alinhar com a pista.
regulamentos_de_trafego_aereo,Qual é a altitude convencional de tráfego para aeronaves de asas fixas no circuito de aeródromo no Brasil?,500 ft AAL,800 ft AAL,1.000 ft AAL,1.500 ft AAL,2,medium,A altitude convencional de tráfego para aeronaves de asas fixas no circuito de aeródromo é de 1.000 ft (aproximadamente 300 m) acima da elevação do aeródromo (AAL - Above Aerodrome Level).
regulamentos_de_trafego_aereo,O que significa uma luz VERDE CONTÍNUA emitida pela TWR para uma aeronave em voo?,Autorizado para táxi,Pousem neste aeródromo,Autorizados a aterrissar,Decolem,2,easy,"Uma luz verde contínua emitida pela Torre de Controle para uma aeronave em voo significa ""Autorizado a aterrissar"" (Cleared to land)."
regulamentos_de_trafego_aereo,O que significa uma luz VERMELHA CONTÍNUA emitida pela TWR para uma aeronave em voo?,Parem,Afastem-se da área de pouso,Retornem ao ponto de partida,Dêem passagem e continuem a voar em círculos,3,medium,"Luz vermelha contínua para aeronave em voo significa ""Dêem passagem e continuem a voar em círculos"" (Give way to other aircraft and continue circling). A aeronave não está autorizada a pousar."
regulamentos_de_trafego_aereo,"Qual sinalização luminosa da TWR indica para uma aeronave em solo ""Autorizados a decolar""?",Luz verde intermitente,Luz verde contínua,Luz branca intermitente,Luz vermelha intermitente,1,easy,"Para aeronave em solo, luz verde contínua significa ""Autorizado a decolar"" (Cleared for take-off). A mesma luz verde contínua para aeronave em voo significa ""Autorizado a aterrissar""."
regulamentos_de_trafego_aereo,O que significa uma luz BRANCA INTERMITENTE emitida pela TWR para uma aeronave em solo?,Retornem ao ponto de partida no aeródromo,Parem,Autorizados a decolar,Táxi proibido,0,medium,"Luz branca intermitente para aeronave em solo significa ""Retornem ao ponto de partida no aeródromo"" (Return to starting point on the aerodrome)."
regulamentos_de_trafego_aereo,O que significa uma luz VERMELHA INTERMITENTE emitida pela TWR para uma aeronave em solo?,Táxi proibido,Afastem-se da pista em uso,Parem,Autorizados a cruzar a pista,1,medium,"Luz vermelha intermitente para aeronave em solo significa ""Afastem-se da pista em uso"" (Taxi clear of the runway in use)."
regulamentos_de_trafego_aereo,"Quando a TWR utiliza sinais luminosos, em que situação o piloto deve reconhecer o recebimento das luzes durante o dia?",Acendendo e apagando as luzes de pouso,Balançando as asas,Transmitindo no rádio,Não é necessário reconhecimento,1,medium,"Durante o dia, o piloto acusa o recebimento de sinais luminosos da TWR balançando as asas da aeronave. À noite, o reconhecimento é feito acendendo e apagando as luzes de aterrissagem ou de navegação."
regulamentos_de_trafego_aereo,O que é o AIP (Aeronautical Information Publication)?,Publicação temporária com informações de curta duração,Publicação permanente com informações aeronáuticas essenciais para navegação,Circular de informação aeronáutica,Publicação diária com informações de tráfego aéreo,1,easy,"O AIP (Publicação de Informação Aeronáutica) é uma publicação permanente que contém informações aeronáuticas de natureza duradoura, essenciais para a navegação aérea, emitida pelo DECEA no Brasil."
