bloco_id,text,option_a,option_b,option_c,option_d,correct_answer,difficulty,explanation
teoria_de_voo,"De acordo com o Princípio de Bernoulli, o que ocorre com a pressão de um fluido quando sua velocidade aumenta?",A pressão aumenta proporcionalmente à velocidade,A pressão diminui quando a velocidade aumenta,A pressão permanece constante independentemente da velocidade,A pressão dobra quando a velocidade dobra,1,easy,"O Princípio de Bernoulli afirma que em um fluxo de fluido, quando a velocidade aumenta, a pressão estática diminui. Isso é fundamental para explicar a geração de sustentação nas asas."
teoria_de_voo,Qual das forças atua perpendicularmente à trajetória de voo e se opõe à gravidade em voo nivelado?,Arrasto,Tração,Sustentação,Peso,2,easy,"A sustentação atua perpendicularmente à trajetória de voo e, em voo nivelado, equilibra o peso da aeronave."
teoria_de_voo,"Em voo nivelado e em velocidade constante, qual é a relação entre as quatro forças que atuam na aeronave?",Sustentação > Peso e Tração > Arrasto,Sustentação = Peso e Tração = Arrasto,Sustentação < Peso e Tração < Arrasto,Sustentação = Arrasto e Tração = Peso,1,easy,"Em voo nivelado e velocidade constante, a aeronave está em equilíbrio: a sustentação iguala o peso e a tração iguala o arrasto."
teoria_de_voo,O ângulo de ataque é definido como o ângulo entre:,A linha da corda do perfil alar e o horizonte,A linha da corda do perfil alar e a direção do vento relativo,A asa e a fuselagem da aeronave,O eixo longitudinal da aeronave e o horizonte,1,easy,O ângulo de ataque é o ângulo formado entre a linha da corda do perfil alar e a direção do vento relativo (trajetória do ar que incide na asa).
teoria_de_voo,O que é a linha de corda de um perfil alar?,A linha que une o ponto de maior espessura ao bordo de fuga,A linha imaginária reta que une o bordo de ataque ao bordo de fuga,A linha curva que representa a curvatura média do perfil,A linha que divide o perfil em partes superior e inferior iguais,1,easy,A linha de corda é a linha imaginária reta que une o bordo de ataque (ponto mais à frente) ao bordo de fuga (ponto mais atrás) do perfil alar.
teoria_de_voo,O que é envergadura de uma asa?,A distância do bordo de ataque ao bordo de fuga,A espessura máxima do perfil alar,A distância de uma ponta à outra da asa,A área total da superfície alar,2,easy,"Envergadura é a dimensão da asa medida de ponta a ponta, ou seja, a distância total de uma extremidade à outra da asa."
teoria_de_voo,O que acontece com a sustentação quando o ângulo de ataque aumenta progressivamente até o ângulo crítico?,A sustentação diminui constantemente,A sustentação permanece constante,A sustentação aumenta até o ângulo crítico e depois cai abruptamente,A sustentação aumenta indefinidamente,2,easy,"Com o aumento do ângulo de ataque, a sustentação cresce até atingir o ângulo crítico (ângulo de estol). Além desse ponto, ocorre separação do fluxo de ar e a sustentação cai bruscamente."
teoria_de_voo,O estol ocorre quando:,A velocidade da aeronave cai abaixo de um valor mínimo absoluto,"O ângulo de ataque excede o ângulo crítico, causando separação do fluxo",O motor para de funcionar em voo,A tração supera o arrasto,1,easy,"O estol é causado pelo excesso de ângulo de ataque além do ângulo crítico, provocando separação do fluxo de ar na extradorso da asa e perda brusca de sustentação. Não é necessariamente uma questão de velocidade baixa."
teoria_de_voo,Qual é o procedimento correto de recuperação de um estol?,Puxar o manche para aumentar o ângulo de ataque e aplicar plena potência,"Baixar o nariz para reduzir o ângulo de ataque, aplicar potência e nivelar as asas",Aplicar pedal de leme oposto à queda da asa e manter a altitude,Retrair os flapes imediatamente e aumentar a velocidade,1,easy,"Para recuperar do estol, deve-se reduzir o ângulo de ataque empurrando o manche (baixando o nariz), aplicar potência para ganhar energia e nivelar as asas com os ailerons."
teoria_de_voo,A 3ª Lei de Newton aplicada à geração de sustentação estabelece que:,Para cada ação há uma reação de mesma intensidade e direção,"A asa deflete o ar para baixo, e a reação é uma força para cima (sustentação)",A força de sustentação é proporcional à massa da aeronave,O ar em repouso não exerce força sobre a asa,1,easy,"Pela 3ª Lei de Newton, ao defletir o ar para baixo, a asa recebe uma força de reação igual e oposta, direcionada para cima — a sustentação."
teoria_de_voo,O que é o bordo de ataque de um perfil alar?,A parte mais fina e afilada da parte traseira da asa,A parte frontal arredondada da asa que enfrenta o fluxo de ar,A superfície superior (extradorso) da asa,A região de maior espessura do perfil,1,easy,"O bordo de ataque é a parte dianteira do perfil alar, geralmente arredondada, que divide o fluxo de ar entre a superfície superior e inferior da asa."
teoria_de_voo,"Em voo em curva coordenada, a sustentação necessária comparada ao voo nivelado é:","Menor, pois parte da sustentação é usada para girar","Igual, pois a curva não altera o peso","Maior, pois a componente vertical deve ainda equilibrar o peso total",Nula na direção vertical durante a curva,2,medium,"Em curva, a sustentação total deve ser maior porque apenas sua componente vertical equilibra o peso. A componente horizontal fornece a força centrípeta para a curva."
teoria_de_voo,O fator de carga (n) em voo nivelado é:,0,"0,5",1,2,2,easy,"Em voo nivelado e constante, o fator de carga é igual a 1 (n=1), pois a sustentação iguala exatamente o peso da aeronave."
teoria_de_voo,Qual é o fator de carga em uma curva coordenada com inclinação de 60°?,"1,0","1,41","1,73","2,0",3,medium,"O fator de carga em curva é n = 1/cos(ângulo de inclinação). Para 60°: n = 1/cos(60°) = 1/0,5 = 2,0."
teoria_de_voo,A velocidade de estol varia com o fator de carga pela fórmula:,Vs_n = Vs × n,Vs_n = Vs × √n,Vs_n = Vs / √n,Vs_n = Vs × n²,1,medium,"A velocidade de estol com fator de carga é Vs_n = Vs × √n. Com fator de carga aumentado (curvas, turbulência), a velocidade de estol aumenta."
teoria_de_voo,"Em uma curva com fator de carga igual a 4, a velocidade de estol em relação ao voo nivelado é:",A mesma,O dobro,Quatro vezes maior,√4 = 2 vezes maior,1,medium,"Vs_n = Vs × √4 = Vs × 2. Portanto, a velocidade de estol dobra quando o fator de carga é 4."
teoria_de_voo,O que é razão de planeio?,A velocidade vertical de descida em metros por segundo,A relação entre a distância horizontal percorrida e a altitude perdida,O ângulo formado entre a trajetória e o horizonte durante a descida,A velocidade de aproximação no pouso,1,easy,"A razão de planeio (L/D ou planar ratio) é a distância horizontal percorrida para cada unidade de altitude perdida. Por exemplo, razão 10:1 significa 10 km horizontais para cada 1 km de altitude perdida."
teoria_de_voo,A melhor razão de planeio é obtida na velocidade correspondente à:,Máxima sustentação (CL máximo),Máxima relação sustentação/arrasto (CL/CD máximo),Mínima velocidade possível (Vs),Máxima velocidade operacional (Vno),1,medium,"A melhor razão de planeio ocorre na velocidade onde a relação L/D (sustentação/arrasto) é máxima, correspondendo ao ponto de mínimo arrasto total na curva polar."
teoria_de_voo,Vx é definida como:,A velocidade de melhor razão de subida (maior altitude por tempo),A velocidade de maior ganho de altitude por distância percorrida horizontalmente,A velocidade de cruzeiro mais econômica,A velocidade de estol com flapes recolhidos,1,medium,"Vx é a velocidade de melhor ângulo de subida, que maximiza o ganho de altitude por distância horizontal. É usada para superar obstáculos próximos ao ponto de decolagem."
